gene_symbol	module_id	module_class	sensor_family	activation_tier	scoring_direction	cell_type_breadth	detectability	also_in_module	doi	aliases	sensor	panel_source
PGF	SASP	sasp_output		Post-NASP	positive	Endothelial-enriched	medium		10.1038/s41467-022-32552-1			SenMayo
PLAT	SASP	sasp_output		Post-NASP	positive	Broad	medium		10.1038/s41467-022-32552-1			SenMayo
PLAU	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41467-022-32552-1			SenMayo
PTBP1	SASP	sasp_regulator		Post-NASP	positive	Broad	medium		10.1016/j.ccell.2018.06.007			
PTGER2	SASP	sasp_receptor		Post-NASP	positive	Broad	low		10.1038/s41467-022-32552-1			SenMayo
PTGES	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41467-022-32552-1			SenMayo
RPS6KA5	SASP	sasp_regulator		Post-NASP	positive	Broad	medium		10.1038/s41467-022-32552-1			SenMayo
SCAMP4	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41467-022-32552-1			SenMayo
SELPLG	SASP	sasp_receptor		Post-NASP	positive	Immune-enriched	high		10.1038/s41467-022-32552-1			SenMayo
SEMA3F	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41467-022-32552-1			SenMayo
SERPINB4	SASP	sasp_output		Post-NASP	positive	Epithelial-enriched	high		10.1038/s41467-022-32552-1			SenMayo
SERPINE1	SASP	sasp_output		Post-NASP	positive	Broad	high	INFLAMMAGING	10.1038/s41580-024-00738-8			SenNet
SERPINE2	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41467-022-32552-1			SenMayo
SPP1	SASP	sasp_output		Post-NASP	positive	Broad	high	SASP	10.1038/s41580-024-00738-8			SenNet
SPX	SASP	sasp_output		Post-NASP	positive	Endocrine-enriched	low		10.1038/s41467-022-32552-1			SenMayo
TFEB	SASP	sasp_regulator		Active	positive	Broad	medium		10.3390/cells11193153			
TGFB1	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
TIMP2	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
TNF	SASP	sasp_output		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
TNFRSF10C	SASP	sasp_receptor		Post-NASP	positive	Broad	low		10.1038/s41467-022-32552-1			SenMayo
TNFRSF11B	SASP	sasp_receptor		Post-NASP	positive	Broad	medium		10.1038/s41467-022-32552-1			SenMayo
TNFRSF1A	SASP	sasp_receptor		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
TNFRSF1B	SASP	sasp_receptor		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
